Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"Sustainability in the Built Environment for Climate Change Mitigation, SBE 2019 Thessaloniki",2020,"IOP Conference Series: Earth and Environmental Science","410","1",,"","",1208,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079634235&partnerID=40&md5=728e30a3ae7dc7d35334db9864e41ce0",,"","The proceedings contain 117 papers. The topics discussed include: mitigation of traffic pollution emissions in the built environment: a real-time flow actuated tool for on ramp management; effects of improved energy performance of buildings on air quality over the Greater Athens area; microclimate profile and contribution of air conditioning to local heat island effects at the Aristotle University of Thessaloniki main campus; on the definition and prioritization of strategies and actions to minimize greenhouse gas emissions in cities: an actor-oriented approach; assessing the effect of the urban morphology on the ambient air temperature of urban street canyons under different meteorological conditions. application in residential areas of Thessaloniki, Greece; and energy efficiency of building technologies and climate change using geographical information system (GIS): a case study of use of soil, water and forest/grass in Migori County, Kenya.",,,Conference Review,"Final","",Scopus,2-s2.0-85079634235
[No author name available],[No author id available],"2019 Research, Invention, and Innovation Congress, RI2C 2019",2020,"E3S Web of Conferences","141",,,"","",188,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079015561&partnerID=40&md5=5bd8d889f5c73203c6d0569e685ee965",,"","The proceedings contain 31 papers. The topics discussed include: carbon footprint analysis of napier pakchong 1 grass plantation in prachinburi province; mobility of polyethylene glycol-modified urethane acrylate (PMUA) nanoparticles in soils; highly active and durable transition metal-coordinated nitrogen doped carbon electrocatalyst for oxygen reduction reaction in neutral media; rapid drying of high-moisture paddy using a pneumatic dryer with corrugated-surface drying column; input/output linearization control technique for anaerobic digestion reactor with recirculation; and performance and ethanol crossover of passive direct ethanol fuel cell stack.",,,Conference Review,"Final","",Scopus,2-s2.0-85079015561
[No author name available],[No author id available],"2nd International Conference on Computer Science and Engineering Technology",2020,"Journal of Physics: Conference Series","1430","1",,"","",376,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078967559&partnerID=40&md5=6f69b816c250988770bf81e2d5dec417",,"","The proceedings contain 56 papers. The topics discussed include: ergonomics analysis of public seat in the Kudus Town square; improved natural gas storage with adsorbed natural gas technology (ANG) using activated carbon from pineapple crown; motor vehicle exhaust carbon monoxide and hydrocarbon emission content reduction by banana peel activated carbon; the preventive effect of rome beauty variety apple skin extract on blood urea nitrogen (BUN) levels of rat (rattus norvegicus) induced by lead (Pb); the oxidant effect of bisphenol A (BPA) can be decoupled from its endocrine disruptor property; and effect of goat milk yogurt fortified with red rice bran flour on SGPT levels of rats (rattus norvegicus) model diabetes mellitus induced streptozotocin.",,,Conference Review,"Final","",Scopus,2-s2.0-85078967559
"Steven Kendall and Anita Eisenstadt, Rapporteurs, Committee on Developing a Research Agenda and Research Governance Approaches for Climate Intervention Strategies That Reflect Sunlight to Cool Earth, Board on Atmospheric Sciences and Climate, Committee on Science, Technology, and Law, Division on Earth and Life Studies, Policy and Global Affairs, National Academies of Sciences, Engineering, and Medicine","","Solar Geoengineering Research Governance: Proceedings of a Workshop in Brief",2020,"Solar Geoengineering Research Governance: Proceedings of a Workshop in Brief",,,,"1","10",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117983067&partnerID=40&md5=fd196a06ead4c65b199d1212125d14af",,"Steven Kendall and Anita Eisenstadt, Rapporteurs; Committee on Developing a Research Agenda and Research Governance Approaches for Climate Intervention Strategies That Reflect Sunlight to Cool Earth; Board on Atmospheric Sciences and Climate; Committee on Science, Technology, and Law; Division on Earth and Life Studies; Policy and Global Affairs; National Academies of Sciences, Engineering, and Medicine","Despite efforts to reduce greenhouse gas emissions, many countries’ efforts reduce emissions are falling short of targets needed to limit global warming and its associated negative impacts. While there is widespread agreement that continued efforts to reduce emissions and adapt to climate change are paramount, there is growing interest in “climate intervention” or “geoengineering” approaches, including those that reduce global warming by reflecting sunlight to cool Earth. In a workshop held in September 2019, the National Academies convened experts to inform a larger study on solar geoengineering. Workshop participants discussed the governance of research at international, national, and sub-national scales and explored research governance mechanisms that might be applied to climate intervention research. This publication summarizes the presentations and discussions for the workshop. © 2020 by the National Academy of Sciences. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-85117983067
[No author name available],[No author id available],"Erratum: A review on transesterification of propylene carbonate and methanol for dimethyl carbonate synthesis (Carbon Resources Conversion (2019) 2(3) (198–212), (S2588913319300341), (10.1016/j.crcon.2019.10.004))",2020,"Carbon Resources Conversion","3",,,"222","",,,"10.1016/j.crcon.2020.10.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108152497&doi=10.1016%2fj.crcon.2020.10.004&partnerID=40&md5=3e207d2060db0a25203cd719ab9f59b5",,"","Declaration/Conflict of Interest statements were not included in the published versions of the following articles, that appeared in previous issues of Carbon Resources Conversion. The authors were contacted after publication to request a Declaration of Interest statement for the following articles: 1. “Pyrolysis of Scrap Tyres Pretreated by Waste Coal Tar” (Carbon Resources Conversion, 2018;1:218–227) https://doi.org/10.1016/j.crcon.2018.07.0032. “Treatment of Coking Wastewater Using Oxic-Anoxic-Oxic Process Followed by Coagulation and Ozonation” (Carbon Resources Conversion, 2019;2:151–156) https://doi.org/10.1016/j.crcon.2019.06.0013. “Comparison of Pyrolysis Characteristics of Two Chinese Oil Shales Based on the Migration and Conversion of Organic Carbon” (Carbon Resources Conversion, 2018;1:209–217) https://doi.org/10.1016/j.crcon.2018.08.0034. “A review on transesterification of propylene carbonate and methanol for dimethyl carbonate synthesis” (Carbon Resources Conversion, 2019;2:198–212) https://doi.org/10.1016/j.crcon.2019.10.0045. “Modeling of fixed bed reactor for coal tar hydrogenation via the kinetic lumping approach” (Carbon Resources Conversion, 2018;1:279–283) https://doi.org/10.1016/j.crcon.2018.11.0026. “The mechanism and kinetics of oil shale pyrolysis at the presence of water” (Carbon Resources Conversion, 2018;1:160–164) https://doi.org/10.1016/j.crcon.2018.04.0037. “Hydrothermal carbonization of agricultural residues: A case study of the farm residues -based biogas plants” (Carbon Resources Conversion, 2018;1:81–85) https://doi.org/10.1016/j.crcon.2018.06.0018. “Comparative Kinetics of Coal and Oil Shale Pyrolysis in a Micro Fluidized Bed Reaction Analyzer” (Carbon Resources Conversion, 2019;2:217–224) https://doi.org/10.1016/j.crcon.2019.10.0019. “Continuous Monitoring of Char Surface Activity toward Benzene” (Carbon Resources Conversion, 2019;2:43–50) https://doi.org/10.1016/j.crcon.2018.12.00110. “Cotton stalk activated carbon-supported Co-Ce-B nanoparticles as efficient catalysts for hydrogen generation through hydrolysis of sodium borohydride” (Carbon Resources Conversion, 2019;2:225–232) https://doi.org/10.1016/j.crcon.2019.11.00111. “A comparative study on characteristics of sulfur and nitrogen transformation and gaseous emission for combustion of bituminous coal and char” (Carbon Resources Conversion, 2018;1:86–93) https://doi.org/10.1016/j.crcon.2018.04.00412. “Synthesis of Na-X Zeolite from Longkou Oil Shale Ash by Alkaline Fusion Hydrothermal Method” (Carbon Resources Conversion, 2018;1:245–250) https://doi.org/10.1016/j.crcon.2018.08.00513. “Directional preparation of naphthalene oil-rich tar from Beisu low rank coal by low temperature catalytic pyrolysis” (Carbon Resources Conversion, 2020;3:67–75) https://doi.org/10.1016/j.crcon.2020.02.00214. “Study of CH4 and CO2 Competitive Adsorption on Shale in Yibin, Sichuan Province of China” (Carbon Resources Conversion, 2019;2:35–42) https://doi.org/10.1016/j.crcon.2018.11.005 © 2020",,,Erratum,"Final","",Scopus,2-s2.0-85108152497
[No author name available],[No author id available],"Creating a climate action plan at cal poly Pomona",2020,"Reflective Planning Practice: Theory, Cases, and Methods",,,,"98","128",,,"10.4324/9780429290275-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096250351&doi=10.4324%2f9780429290275-6&partnerID=40&md5=60ec5704c6ac050b2163c6620a9568c4",,"","The California State Polytechnic University, Pomona Climate Action Plan: Pathway to Climate Neutrality (CAP) is a case study of developing an environmental plan. It examines how the CAP was created to support a goal of a carbon-neutral campus. It highlights three practical judgments: proceeding under conditions of technical uncertainty, using cost-effectiveness analysis to select measures, and determining the scope of the plan. The CAP mandate was to develop a climate action plan to guide Cal Poly Pomona (CPP) toward carbon neutrality by 2030. The CPP president is advised by a cabinet comprised of vice presidents of divisions and the Cal Poly Pomona Foundation Inc. This chapter addresses planner-as-person elements, context, and the ways in which reasoning and methods were employed. While there were some campus climate action plans on the website for the Climate Commitment, many were from East Coast universities that have a different energy and emission profiles. © 2021 Taylor & Francis.",,,Book Chapter,"Final","",Scopus,2-s2.0-85096250351
"Zuo S., Dai S., Ren Y.","56197322100;57218567730;36185974400;","More fragmentized urban form more CO2 emissions? A comprehensive relationship from the combination analysis across different scales",2020,"Journal of Cleaner Production","244",,"118659","","",,5,"10.1016/j.jclepro.2019.118659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073714604&doi=10.1016%2fj.jclepro.2019.118659&partnerID=40&md5=5d26715f7bf0262e83e8ee6b33e4fbf6","Key Laboratory of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, 361021, China; University of Chinese Academy of Sciences, Xiamen, 361021, China; Ningbo Urban Environment Observation and Research Station-NUEORS, Chinese Academy of Sciences, Ningbo, 315800, China","Zuo, S., Key Laboratory of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, 361021, China, University of Chinese Academy of Sciences, Xiamen, 361021, China; Dai, S., Key Laboratory of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, 361021, China, University of Chinese Academy of Sciences, Xiamen, 361021, China; Ren, Y., Key Laboratory of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, 361021, China, Ningbo Urban Environment Observation and Research Station-NUEORS, Chinese Academy of Sciences, Ningbo, 315800, China","Scientifically delineating the spatial heterogeneity of urban landscape fragmentation in relation to CO2 emissions helps the urban carbon mitigation strategy. The combination analysis across spatial resolutions, which is rare, helps explore the comprehensive relationship between urban fragmentation and CO2 emissions. This study compared the relationships between urban form fragmentation and CO2 emissions in an urban system through the analytic framework composed of the Pearson correlation analysis, geographically weighted regression (GWR), and geographical detector methods with the use of multi-source data to construct the CO2 emissions maps. As the result, there was less fragmentation with a 500-m spatial resolution (R500m) than with a 30-m spatial resolution (R30m). In terms of the GWR analysis, the coarse resolution resulted in: 1) positive coefficients of fragmentation metric becoming negative, and 2) greater absolute values of negative coefficients. As to the results of Geographical detector, single factor impact powers and interactions among fragmentation factors showed a weakening effect at R30m, but a strengthening and weakening effect at R500m. However, there were common results observed in low-fragmented areas across different scales. That is, in low-fragmented mixed-function areas and industrial areas, the more fragmented the area was, the less the CO2 emission there would be. However, in low-fragmented residential, administrative and public service areas, the more fragmented the area was, the higher the CO2 emission there would be. Therefore, the government should disperse the mixed function zones and industrial parcels with diverse types of land, and build the contiguous residential and public service land in the low fragmentation area of urban system. The results of this study can provide a reference for the other small and medium towns and cities. The analytical framework can be applied to CO2 emissions research in urban agglomerations, megacities, and small towns. © 2019 Elsevier Ltd","Aggregation effect; Fossil fuel CO2 emission; Spatial analysis; Spatial resolution; Urban functional landscape","Carbon dioxide; Correlation methods; Fossil fuels; Housing; Image resolution; Industrial emissions; CO2 emissions; Geographically weighted regression; Pearson correlation analysis; Positive coefficients; Spatial analysis; Spatial heterogeneity; Spatial resolution; Urban functional landscape; Spatial variables measurement",Article,"Final","",Scopus,2-s2.0-85073714604
"Zou Y., Wang Y., Qian Y., Tian H., Yang J., Alvarado E.","57200201534;57200055610;55802246600;57201951903;55734757600;6701726768;","Using CESM-RESFire to understand climate-fire-ecosystem interactions and the implications for decadal climate variability",2020,"Atmospheric Chemistry and Physics","20","2",,"995","1020",,8,"10.5194/acp-20-995-2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078758149&doi=10.5194%2facp-20-995-2020&partnerID=40&md5=626a459740abc039c10d914fae992b13","School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, GA  30332, United States; Atmospheric Sciences and Global Change Division, Pacific Northwest National Laboratory, Richland, WA  99354, United States; International Centre for Climate and Global Change Research, School of Forestry and Wildlife Sciences, Auburn University, Auburn, AL  36849, United States; College of Forest Resources, Forest and Wildlife Research Center, Mississippi State University, Starkville, MS  39762, United States; School of Environmental and Forest Sciences, University of Washington, Seattle, WA  98195, United States; Pacific Northwest National Laboratory, Richland, WA  99354, United States","Zou, Y., School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, GA  30332, United States, Pacific Northwest National Laboratory, Richland, WA  99354, United States; Wang, Y., School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, GA  30332, United States; Qian, Y., Atmospheric Sciences and Global Change Division, Pacific Northwest National Laboratory, Richland, WA  99354, United States; Tian, H., International Centre for Climate and Global Change Research, School of Forestry and Wildlife Sciences, Auburn University, Auburn, AL  36849, United States; Yang, J., College of Forest Resources, Forest and Wildlife Research Center, Mississippi State University, Starkville, MS  39762, United States; Alvarado, E., School of Environmental and Forest Sciences, University of Washington, Seattle, WA  98195, United States","<p>Large wildfires exert strong disturbance on regional and global climate systems and ecosystems by perturbing radiative forcing as well as the carbon and water balance between the atmosphere and land surface, while short- and long-term variations in fire weather, terrestrial ecosystems, and human activity modulate fire intensity and reshape fire regimes. The complex climate-fire-ecosystem interactions were not fully integrated in previous climate model studies, and the resulting effects on the projections of future climate change are not well understood. Here we use the fully interactive REgion-Specific ecosystem feedback Fire model (RESFire) that was developed in the Community Earth System Model (CESM) to investigate these interactions and their impacts on climate systems and fire activity. We designed two sets of decadal simulations using CESM-RESFire for present-day (2001-2010) and future (2051-2060) scenarios, respectively, and conducted a series of sensitivity experiments to assess the effects of individual feedback pathways among climate, fire, and ecosystems. Our implementation of RESFire, which includes online land-atmosphere coupling of fire emissions and fire-induced land cover change (LCC), reproduces the observed aerosol optical depth (AOD) from space-based Moderate Resolution Imaging Spectroradiometer (MODIS) satellite products and ground-based AErosol RObotic NETwork (AERONET) data; it agrees well with carbon budget benchmarks from previous studies. We estimate the global averaged net radiative effect of both fire aerosols and fire-induced LCC at <span classCombining double low line""inline-formula""><math xmlnsCombining double low line""http://www.w3.org/1998/Math/MathML"" idCombining double low line""M1"" displayCombining double low line""inline"" overflowCombining double low line""scroll"" dspmathCombining double low line""mathml""><mrow><mo>-</mo><mn mathvariantCombining double low line""normal"">0.59</mn><mo>±</mo><mn mathvariantCombining double low line""normal"">0.52</mn></mrow></math><span><svg:svg xmlns:svgCombining double low line""http://www.w3.org/2000/svg"" widthCombining double low line""64pt"" heightCombining double low line""10pt"" classCombining double low line""svg-formula"" dspmathCombining double low line""mathimg"" md5hashCombining double low line""81225efbee53d3fa37673b300b31505a""><svg:image xmlns:xlinkCombining double low line""http://www.w3.org/1999/xlink"" xlink:hrefCombining double low line""acp-20-995-2020-ie00001.svg"" widthCombining double low line""64pt"" heightCombining double low line""10pt"" srcCombining double low line""acp-20-995-2020-ie00001.png""/></svg:svg></span></span>&thinsp;W&thinsp;m<span classCombining double low line""inline-formula"">-2</span>, which is dominated by fire aerosol-cloud interactions (<span classCombining double low line""inline-formula""><math xmlnsCombining double low line""http://www.w3.org/1998/Math/MathML"" idCombining double low line""M3"" displayCombining double low line""inline"" overflowCombining double low line""scroll"" dspmathCombining double low line""mathml""><mrow><mo>-</mo><mn mathvariantCombining double low line""normal"">0.82</mn><mo>±</mo><mn mathvariantCombining double low line""normal"">0.19</mn></mrow></math><span><svg:svg xmlns:svgCombining double low line""http://www.w3.org/2000/svg"" widthCombining double low line""64pt"" heightCombining double low line""10pt"" classCombining double low line""svg-formula"" dspmathCombining double low line""mathimg"" md5hashCombining double low line""e6f571c6171863e014b049d815ae960f""><svg:image xmlns:xlinkCombining double low line""http://www.w3.org/1999/xlink"" xlink:hrefCombining double low line""acp-20-995-2020-ie00002.svg"" widthCombining double low line""64pt"" heightCombining double low line""10pt"" srcCombining double low line""acp-20-995-2020-ie00002.png""/></svg:svg></span></span>&thinsp;W&thinsp;m<span classCombining double low line""inline-formula"">-2</span>), in the present-day scenario under climatological conditions of the 2000s. The fire-related net cooling effect increases by <span classCombining double low line""inline-formula"">ĝ1/4170</span>&thinsp;% to <span classCombining double low line""inline-formula""><math xmlnsCombining double low line""http://www.w3.org/1998/Math/MathML"" idCombining double low line""M6"" displayCombining double low line""inline"" overflowCombining double low line""scroll"" dspmathCombining double low line""mathml""><mrow><mo>-</mo><mn mathvariantCombining double low line""normal"">1.60</mn><mo>±</mo><mn mathvariantCombining double low line""normal"">0.27</mn></mrow></math><span><svg:svg xmlns:svgCombining double low line""http://www.w3.org/2000/svg"" widthCombining double low line""64pt"" heightCombining double low line""10pt"" classCombining double low line""svg-formula"" dspmathCombining double low line""mathimg"" md5hashCombining double low line""b35b7b37838dbc67785d3c8c2a132cdb""><svg:image xmlns:xlinkCombining double low line""http://www.w3.org/1999/xlink"" xlink:hrefCombining double low line""acp-20-995-2020-ie00003.svg"" widthCombining double low line""64pt"" heightCombining double low line""10pt"" srcCombining double low line""acp-20-995-2020-ie00003.png""/></svg:svg></span></span>&thinsp;W&thinsp;m<span classCombining double low line""inline-formula"">-2</span> in the 2050s under the conditions of the Representative Concentration Pathway 4.5 (RCP4.5) scenario. Such considerably enhanced radiative effect is attributed to the largely increased global burned area (<span classCombining double low line""inline-formula"">+19</span>&thinsp;%) and fire carbon emissions (<span classCombining double low line""inline-formula"">+100</span>&thinsp;%) from the 2000s to the 2050s driven by climate change. The net ecosystem exchange (NEE) of carbon between the land and atmosphere components in the simulations increases by 33&thinsp;% accordingly, implying that biomass burning is an increasing carbon source at short-term timescales in the future. High-latitude regions with prevalent peatlands would be more vulnerable to increased fire threats due to climate change, and the increase in fire aerosols could counter the projected decrease in anthropogenic aerosols due to air pollution control policies in many regions. We also evaluate two distinct feedback mechanisms that are associated with fire aerosols and fire-induced LCC, respectively. On a global scale, the first mechanism imposes positive feedbacks to fire activity through enhanced droughts with suppressed precipitation by fire aerosol-cloud interactions, while the second one manifests as negative feedbacks due to reduced fuel loads by fire consumption and post-fire tree mortality and recovery processes. These two<span idCombining double low line""page996""/> feedback pathways with opposite effects compete at regional to global scales and increase the complexity of climate-fire-ecosystem interactions and their climatic impacts.</p>. © 2020 Copernicus GmbH. All rights reserved.",,"climate change; decadal variation; global climate; land-atmosphere interaction; radiative forcing; terrestrial ecosystem; wildfire",Article,"Final","",Scopus,2-s2.0-85078758149
"Zou Y., Ge X., Guo S., Zhou Y., Wang T., Zong S.","57208821464;56421246300;57208823075;57208823285;56720018300;8406485200;","Impacts of climate change and host plant availability on the global distribution of Brontispa longissima (Coleoptera: Chrysomelidae)",2020,"Pest Management Science","76","1",,"244","256",,7,"10.1002/ps.5503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068621354&doi=10.1002%2fps.5503&partnerID=40&md5=8eceeb1fc214c53470bce20195164c20","Key Laboratory of Beijing for the Control of Forest Pests, Beijing Forestry University, Beijing, China; Department of Integrative Biology, University of Guelph, Guelph, ON, Canada; Mentougou Forestry Station, Beijing, China","Zou, Y., Key Laboratory of Beijing for the Control of Forest Pests, Beijing Forestry University, Beijing, China; Ge, X., Department of Integrative Biology, University of Guelph, Guelph, ON, Canada; Guo, S., Key Laboratory of Beijing for the Control of Forest Pests, Beijing Forestry University, Beijing, China; Zhou, Y., Key Laboratory of Beijing for the Control of Forest Pests, Beijing Forestry University, Beijing, China; Wang, T., Mentougou Forestry Station, Beijing, China; Zong, S., Key Laboratory of Beijing for the Control of Forest Pests, Beijing Forestry University, Beijing, China","BACKGROUND: The coconut hispine beetle Brontispa longissima Gestro (Coleoptera: Chrysomelidae) is one of the most serious pests of the coconut palm, Cocos nucifera L. (Arecales: Arecaceae) and other palms. The invasion of B. longissima causes major economic and ecological losses worldwide. In this study, the impacts of climate change on the risk of spread were evaluated. CLIMEX was used to project its global potential distribution based on historical climate data (1987–2016) and simulated future climate data (2071–2100). RESULTS: The distribution of B. longissima included each continent under historical and future climate conditions. However, climate suitability was predicted to decrease in most tropical and subtropical regions under a climate change scenario. Temperature was a more important determinant of the climatic suitability of the pest than relative humidity or precipitation. The availability of host plants (Arecaceae) only had a slight impact on climate suitability in some regions. CONCLUSION: The projected potential distribution of B. longissima will help to determine the impacts of climate change and will provide supportive information for the development of management strategies to reduce future economic and ecological losses. © 2019 Society of Chemical Industry. © 2019 Society of Chemical Industry","climate change; CLIMEX; potential distribution; RCP4.5","beetle; climate change; climate effect; climate modeling; geographical distribution; host plant; management practice; monocotyledon; precipitation (climatology); relative humidity; tropical region; Arecaceae; Arecales; Brontispa longissima; Chrysomelidae; Cocos nucifera; Coleoptera; animal; beetle; climate change; coconut; ecology; Animals; Climate Change; Cocos; Coleoptera; Ecology",Article,"Final","",Scopus,2-s2.0-85068621354
"Zhuozhuo L.Ü., Fei L.I., Orsolini Y.J., Yongqi G.A.O., Shengping H.E.","57215433724;57215430429;7003355879;57202513850;57194094748;","Understanding of European cold extremes, sudden stratospheric warming, and Siberian snow accumulation in the winter of 2017/18",2020,"Journal of Climate","33","2",,"527","545",,13,"10.1175/JCLI-D-18-0861.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080908388&doi=10.1175%2fJCLI-D-18-0861.1&partnerID=40&md5=2ce4c2d1218c9c8b35205eeafc688924","Nansen-Zhu International Research Centre, Institute of Atmospheric Physics, Chinese Academy of Sciences, University of Chinese Academy of Sciences, Beijing, China; Geophysical Institute, University of Bergen, Bjerknes Centre for Climate Research, Bergen, Norway; Norwegian Institute for Air Research (NILU), Kjeller, Norway; Nansen Environmental and Remote Sensing Center, Bjerknes Centre for Climate Research, Bergen, Norway; Nansen-Zhu International Research Centre, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China","Zhuozhuo, L.Ü., Nansen-Zhu International Research Centre, Institute of Atmospheric Physics, Chinese Academy of Sciences, University of Chinese Academy of Sciences, Beijing, China; Fei, L.I., Geophysical Institute, University of Bergen, Bjerknes Centre for Climate Research, Bergen, Norway; Orsolini, Y.J., Norwegian Institute for Air Research (NILU), Kjeller, Norway; Yongqi, G.A.O., Nansen Environmental and Remote Sensing Center, Bjerknes Centre for Climate Research, Bergen, Norway, Nansen-Zhu International Research Centre, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Shengping, H.E., Geophysical Institute, University of Bergen, Bjerknes Centre for Climate Research, Bergen, Norway","It is unclear whether the Eurasian snow plays a role in the tropospheric driving of sudden stratospheric warming (SSW). The major SSW event of February 2018 is analyzed using reanalysis datasets. Characterized by predominant planetary waves of zonal wave 2, the SSW developed into a vortex split via wave-mean flow interaction. In the following two weeks, the downward migration of zonal-mean zonal wind anomalies was accompanied by a significant transition to the negative phase of the North Atlantic Oscillation, leading to extensive cold extremes across Europe. Here, we demonstrate that anomalous Siberian snow accumulation could have played an important role in the 2018 SSW occurrence. In the 2017/18 winter, snow depths over Siberia were much higher than normal. A lead-lag correlation analysis shows that the positive fluctuating snow depth anomalies, leading to intensified ''cold domes'' over eastern Siberia (i.e., in a region where the climatological upward planetary waves maximize), precede enhanced wave-2 pulses of meridional heat fluxes (100 hPa) by 7-8 days. The snow-SSW linkage over 2003-19 is further investigated, and some common traits among three split events are found. These include a time lag of about one week between the maximum anomalies of snow depth and wave-2 pulses (100 hPa), high sea level pressure favored by anomalous snowpack, and a ridge anchoring over Siberia as precursor of the splits. The role of tropospheric ridges over Alaska and the Urals in the wave-2 enhancement and the role of Arctic sea ice loss in Siberian snow accumulation are also discussed. © 2019 American Meteorological Society. For information regarding reuse of this content and general copyright information, consult the AMS Copyright Policy (www.ametsoc.org/PUBSReuseLicenses).",,"Atmospheric pressure; Sea ice; Sea level; Snow melting systems; Troposphere; Correlation analysis; Eastern Siberia; North Atlantic oscillations; Sea level pressure; Snow accumulation; Sudden stratospheric warming; Wave-mean-flow interaction; Zonal-mean zonal winds; Snow; climate; extreme event; seasonal variation; snow accumulation; sudden stratospheric warming; temperature anomaly; troposphere; zonal wind; Alaska; Siberia; United States; Urals",Article,"Final","",Scopus,2-s2.0-85080908388
